# x (au), dx (au), v (km/s), dv (km/s)
4.377700353247817588e+01 8.399999999895841896e+00 3.754516926525007570e+00 0.000000000000000000e+00
4.488786945233334791e+01 8.399999999895841896e+00 3.962870666346618442e+00 0.000000000000000000e+00
1.287618998513289270e+01 8.399999999895841896e+00 4.171224406168231091e+00 0.000000000000000000e+00
3.397142784955464379e+01 8.399999999895841896e+00 4.379578145989843740e+00 0.000000000000000000e+00
3.062488141999840607e+01 8.399999999895841896e+00 4.587931885811454613e+00 0.000000000000000000e+00
2.055248986611396944e+01 8.399999999895841896e+00 4.796285625633067262e+00 0.000000000000000000e+00
2.459065228316308804e+01 8.399999999895841896e+00 5.004639365454679911e+00 0.000000000000000000e+00
-6.296425440841911580e+01 8.399999999895841896e+00 -3.537863967198134230e+00 0.000000000000000000e+00
-2.842232048490600249e+01 8.399999999895841896e+00 -3.746217707019746879e+00 0.000000000000000000e+00
-5.575874620419251926e+01 8.399999999895841896e+00 -3.954571446841359084e+00 0.000000000000000000e+00
-3.802747862262636858e+01 8.399999999895841896e+00 -4.162925186662970845e+00 0.000000000000000000e+00
-5.301632842461944506e+01 8.399999999895841896e+00 -4.371278926484583494e+00 0.000000000000000000e+00
-3.962913699597088879e+01 8.399999999895841896e+00 -4.579632666306195254e+00 0.000000000000000000e+00
-3.409571783633094100e+01 8.399999999895841896e+00 -4.787986406127807015e+00 0.000000000000000000e+00
-3.143397335436049644e+01 8.399999999895841896e+00 -4.996340145949419664e+00 0.000000000000000000e+00
5.305251995546775845e+01 0.000000000000000000e+00 3.856870316189042747e+00 3.856870316189042747e-02
9.493608834136334451e+01 0.000000000000000000e+00 3.149926764722148498e+00 3.149926764722148220e-02
1.368196567272589448e+02 0.000000000000000000e+00 2.744900233711779158e+00 2.744900233711779214e-02
1.787032251131545593e+02 0.000000000000000000e+00 2.459048241085239006e+00 2.459048241085239062e-02
2.205867934990501453e+02 0.000000000000000000e+00 2.248140562744343818e+00 2.248140562744343693e-02
2.624703618849457598e+02 0.000000000000000000e+00 2.088141583279711888e+00 2.088141583279711985e-02
3.043539302708413743e+02 0.000000000000000000e+00 1.957277946092902177e+00 2.083537398216122119e-02
3.462374986567369319e+02 0.000000000000000000e+00 1.850231252386548952e+00 2.083537398216122119e-02
3.881210670426325464e+02 0.000000000000000000e+00 1.755121633694302297e+00 2.083537398216122119e-02
4.300046354285281041e+02 0.000000000000000000e+00 1.666779595702752026e+00 2.083537398216122119e-02
4.718882038144237185e+02 0.000000000000000000e+00 1.604535911655669445e+00 2.083537398216122119e-02
5.137717722003193330e+02 0.000000000000000000e+00 1.537970060999520605e+00 2.083537398216122119e-02
5.556553405862149475e+02 0.000000000000000000e+00 1.474157849642023344e+00 2.083537398216122119e-02
5.975389089721105620e+02 0.000000000000000000e+00 1.424951565466948900e+00 2.083537398216122119e-02
6.394224773580060628e+02 0.000000000000000000e+00 1.388578189155560416e+00 2.083537398216122119e-02
6.813060457439017910e+02 0.000000000000000000e+00 1.352867252096506157e+00 2.083537398216122119e-02
7.231896141297972918e+02 0.000000000000000000e+00 1.304049059926865262e+00 2.083537398216122119e-02
7.650731825156929062e+02 0.000000000000000000e+00 1.261868503635658278e+00 2.083537398216122119e-02
8.069567509015885207e+02 0.000000000000000000e+00 1.229161088939146218e+00 2.083537398216122119e-02
8.488403192874841352e+02 0.000000000000000000e+00 1.214875859726176621e+00 2.083537398216122119e-02
8.907238876733797497e+02 0.000000000000000000e+00 1.199352555531448594e+00 2.083537398216122119e-02
9.326074560592752505e+02 0.000000000000000000e+00 1.173949324424229168e+00 2.083537398216122119e-02
9.744910244451708650e+02 0.000000000000000000e+00 1.134588778842368306e+00 2.083537398216122119e-02
1.016374592831066593e+03 0.000000000000000000e+00 1.097565929347942948e+00 2.083537398216122119e-02
-7.259818520221904237e+01 0.000000000000000000e+00 -3.580681239689448070e+00 3.580681239689448292e-02
-1.144817535881146426e+02 0.000000000000000000e+00 -3.073517945525185979e+00 3.073517945525186187e-02
-1.563653219740102145e+02 0.000000000000000000e+00 -2.687092428902115415e+00 2.687092428902115512e-02
-1.982488903599058290e+02 0.000000000000000000e+00 -2.416045337950718519e+00 2.416045337950718450e-02
-2.401324587458014150e+02 0.000000000000000000e+00 -2.214630821536379912e+00 2.214630821536379968e-02
-2.820160271316970011e+02 0.000000000000000000e+00 -2.061722217342369490e+00 2.083537398216122119e-02
-3.238995955175926156e+02 0.000000000000000000e+00 -1.933548249168931754e+00 2.083537398216122119e-02
-3.657831639034882301e+02 0.000000000000000000e+00 -1.832322736094802451e+00 2.083537398216122119e-02
-4.076667322893838445e+02 0.000000000000000000e+00 -1.735964868439730857e+00 2.083537398216122119e-02
-4.495503006752794022e+02 0.000000000000000000e+00 -1.652732561835485114e+00 2.083537398216122119e-02
-4.914338690611749598e+02 0.000000000000000000e+00 -1.592490821895929720e+00 2.083537398216122119e-02
-5.333174374470705743e+02 0.000000000000000000e+00 -1.525784398372850070e+00 2.083537398216122119e-02
-5.752010058329661888e+02 0.000000000000000000e+00 -1.464034933972483188e+00 2.083537398216122119e-02
-6.170845742188618033e+02 0.000000000000000000e+00 -1.415747156562208176e+00 2.083537398216122119e-02
-6.589681426047574178e+02 0.000000000000000000e+00 -1.380535657255021142e+00 2.083537398216122119e-02
-7.008517109906529186e+02 0.000000000000000000e+00 -1.345692084595997429e+00 2.083537398216122119e-02
-7.427352793765486467e+02 0.000000000000000000e+00 -1.297471652770006756e+00 2.083537398216122119e-02
